21 121222222222113201 0030420222222222  0 022222222222 04222 0222222222222 00222222  013142112211462122000 0000000000022 2 05112111720042 0000034242130222222 002222212221222232122222222121222232 0  00 0000  0000000 00 0 0 02222222222222220022222222200000 100000111 31 8 901112445213111322111206004 5 6 112123141921472222 1 0 1 310
21 112222222222112202 0010420222222222  0 022222222222 06552 0222222222222 00222222  0301522 0000000121000 0000000000011 1 0302222 020042 0000024211130222222 002222211222223132134412222122221232 0  00 0000  0000000 00 0 0 02222222222222220022222222200000 000000221 34 6 603464334203111121222206004 4 2 321126252256575523 2 0 2 011
13 022222222220113210 0010420222222222  0 022222222222 04252 0222222222222 00222222  000122111211332122000 0000000000011 0 7572200 000010 0202033331130222222 002222221122233210222232122121222100 8  04 0351  0112100 42 6 5 32212112222222225421222111211122 411114321 23 8 761113333114231421111426004 5 4 312138723424455222 1 0 1 412
22 022222222222111110 0010212222222112  0 611111222212 05551 1212222222222 01212222  022200112222000122000 0000000000011 0 03122111720032 0000024232120222222 012222112221233133123312222222122232 0  00 0000  0000000 00 0 0 02222222222222220022222222200000 000000323 24 9 901314334202111112222406004 7 2 712524322505031353 1 0 1 511
21 411212222122112201 0010313212222112  0 611112212212 01221 3112212222222 01222221 5812132110111452322311 0333333333300 5 0551222 014012 0000034341130222222 002222212212223132223451111221221100 3  01 0314126911100 33 0 0 02222222222222226421221121221221 420224131 32 9 901156666001031511111116004 3 1 121432 0 034441333 1 0 1 311
11 312222221122111101 0020320222222222  0 511122221212 06552 0222222222222 00222222  0001322 0000000112000 0000000000011 0 0202200 000020 0000013101130222222 002222212221222323213331112222223232 0  00 0000  0000000 00 0 0 02222222222222220022222222200000 000000321 24 8 903333333104133112222405044 3 6 114144412238442234 1 0 1 010
23 022222222220222211 0010420222222222  0 022222222222 04332 0222222222222 00222222  013142111222000122000 0000000000011 2 05512211820042 0000024102130222222 002222211222223102145521222212221100 3  05 0373  0222288 02 2 3142112222222222125311222122221121 212114221 2110105111444422223151111121220413 4 912517162134472222 2 0 21211
11 311212222222112203 3042420222222222  0 022222222222 02322 0222222222222 00222222  000142111111562311341 0333332333300 0 2511200 000030 0202014231130222222 002222212221232313323312222222122100 3  01 0131  091210013312 9142222222212212126312122221224221 211224433 01 8 821114334124131122122222101 5 4 314129382560463333 3 3 6 411
12 022222222221221110 0010320222222222  0 311122222222 01112 0222222222222 00222222  000142110111462122000 0000000000011 0 3531200 000040 0202014211130222222 002222202222233313311121212222221100 6  04 0173  0421100 91 8 2 62122212122222226511212121221142 313221211 21101061111535115231421111116001 7 1 513132272128074343 1 0 1 711
23 022222222220113110 0010411221222222  0 721121111122 06551 5111221221222 02211222  0221522 0000000122000 0000000000022 1 02022211720022 0000013211111222221 012222121212223132144442122111222212 0  00 0000  0000000 00 0 0 02222222222222220022222222200000 000000231 24 7 703555555401011421111406004 3 2 133122252344542322 1 0 1 011
